City;State;Median Age;Male Population;Female Population;Total Population;Number of Veterans;Foreign-born;Average Household Size;State Code;Race;Count
Springfield;Massachusetts;31.8;74744;79592;154336;5723;16226;2.81;MA;American Indian and Alaska Native;2087
Fort Smith;Arkansas;34.9;43346;44849;88195;3408;13177;2.44;AR;Black or African-American;9851
San Bernardino;California;28.5;108671;107466;216137;7741;55135;3.55;CA;Asian;12981
San Mateo;California;39.3;50966;52558;103524;2730;34957;2.64;CA;White;62656
Fall River;Massachusetts;39.3;43314;45456;88770;4143;14775;2.21;MA;Black or African-American;6389
Bellingham;Washington;30.7;41286;43857;85143;4703;8713;2.44;WA;Asian;8010
Carmichael;California;41.0;29281;33934;63215;4225;7378;2.39;CA;White;55862
Philadelphia;Pennsylvania;34.1;741270;826172;1567442;61995;205339;2.61;PA;Black or African-American;691186
Maple Grove;Minnesota;38.6;31780;36601;68381;2943;7645;2.64;MN;Hispanic or Latino;1685
Pittsburgh;Pennsylvania;32.9;149690;154695;304385;17728;28187;2.13;PA;Asian;21227
Union City;New Jersey;35.4;35376;33773;69149;705;40553;2.85;NJ;Black or African-American;4686
Fontana;California;29.5;100644;106828;207472;4076;61448;4.15;CA;Black or African-American;16986
Lauderhill;Florida;35.7;32813;38761;71574;1965;25471;3.02;FL;Hispanic or Latino;6089
Bolingbrook;Illinois;33.7;36295;35801;72096;2951;15212;3.42;IL;Black or African-American;12671
Bolingbrook;Illinois;33.7;36295;35801;72096;2951;15212;3.42;IL;Asian;9788
Worcester;Massachusetts;34.9;90951;93855;184806;9408;36907;2.43;MA;Asian;15932
Providence;Rhode Island;29.9;89090;90114;179204;4933;53532;2.72;RI;Asian;13432
Fayetteville;Arkansas;27.1;41959;40873;82832;4744;6313;2.28;AR;White;68830
Santa Rosa;California;37.9;86840;88149;174989;9101;33015;2.7;CA;White;138506
Union City;California;38.5;38599;35911;74510;1440;32752;3.46;CA;White;16845
Lakeland;Florida;38.1;47840;56570;104410;7390;11592;2.56;FL;Black or African-American;25111
Lakeland;Florida;38.1;47840;56570;104410;7390;11592;2.56;FL;Asian;3348
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;White;98243
Richmond;Virginia;33.6;104793;115496;220289;12538;15741;2.29;VA;Asian;6626
Marysville;Washington;33.2;33436;33337;66773;5714;7721;2.79;WA;American Indian and Alaska Native;3260
Beaverton;Oregon;35.6;47325;49252;96577;4645;18933;2.46;OR;Asian;10538
Bayonne;New Jersey;39.7;32705;33598;66303;2225;21899;2.62;NJ;Asian;7171
Lakewood;Colorado;37.7;76013;76576;152589;9988;14169;2.29;CO;Black or African-American;2679
Santa Barbara;California;37.8;45068;46784;91852;4518;19441;2.51;CA;White;73659
Yuba City;California;34.5;33654;33290;66944;4706;18032;2.9;CA;Hispanic or Latino;20890
Palo Alto;California;40.2;31451;35397;66848;2025;23348;2.55;CA;American Indian and Alaska Native;556
Pueblo;Colorado;37.6;55635;53784;109419;7989;3578;2.44;CO;White;86097
The Villages;Florida;70.5;;;72590;15231;4034;;FL;Hispanic or Latino;1066
Fort Wayne;Indiana;34.7;124815;133329;258144;13539;19146;2.45;IN;Black or African-American;46319
Santa Ana;California;30.8;167503;167920;335423;4735;152999;4.58;CA;Black or African-American;5813
Bismarck;North Dakota;38.0;34675;35565;70240;4145;2064;2.11;ND;Asian;930
Phoenix;Arizona;33.8;786833;776168;1563001;72388;300702;2.89;AZ;Hispanic or Latino;669914
Daly City;California;39.7;53817;52757;106574;3782;56640;3.26;CA;White;25522
South San Francisco;California;39.4;34177;33094;67271;1839;27528;3.33;CA;Black or African-American;2327
Vacaville;California;35.8;50091;46703;96794;9064;10577;2.9;CA;Hispanic or Latino;23395
Bloomington;Indiana;23.5;40588;43227;83815;2368;10033;2.33;IN;Hispanic or Latino;3643
Independence;Missouri;38.6;54348;62907;117255;10220;4911;2.33;MO;White;98940
Independence;Missouri;38.6;54348;62907;117255;10220;4911;2.33;MO;Black or African-American;10394
Kennewick;Washington;32.0;38492;40411;78903;5158;8376;2.78;WA;American Indian and Alaska Native;1101
Flagstaff;Arizona;23.9;33224;37093;70317;3667;4262;2.55;AZ;Asian;2646
Antioch;California;34.0;54733;55809;110542;5681;24942;3.31;CA;Hispanic or Latino;35563
Brandon;Florida;36.1;55679;58289;113968;9417;16390;2.64;FL;Asian;9440
Kansas City;Kansas;33.4;74606;76655;151261;8139;25507;2.71;KS;Black or African-American;40177
Waukegan;Illinois;32.3;45514;42833;88347;3404;30997;2.92;IL;Asian;4933
Eugene;Oregon;33.4;79071;84377;163448;8896;14503;2.34;OR;Hispanic or Latino;17356
Eugene;Oregon;33.4;79071;84377;163448;8896;14503;2.34;OR;Black or African-American;5632
Fort Collins;Colorado;29.6;80893;80288;161181;8425;9704;2.45;CO;American Indian and Alaska Native;3271
Jacksonville;North Carolina;24.2;40015;27348;67363;8252;3732;2.51;NC;Black or African-American;13253
Mesquite;Texas;34.6;69240;75884;145124;6438;26755;2.96;TX;Black or African-American;37339
Hawthorne;California;33.7;43682;44762;88444;2123;32107;2.97;CA;Hispanic or Latino;50115
Boca Raton;Florida;47.3;44760;48466;93226;4367;21117;2.22;FL;Asian;2494
Cary;North Carolina;39.9;78932;81582;160514;7426;30008;2.61;NC;Hispanic or Latino;10327
Saint Joseph;Missouri;35.7;37688;38408;76096;5846;3755;2.58;MO;Asian;1271
Melbourne;Florida;43.4;39180;40956;80136;8363;9685;2.37;FL;American Indian and Alaska Native;251
Palm Bay;Florida;40.7;51767;56128;107895;10942;12070;2.82;FL;Black or African-American;20891
Plantation;Florida;40.6;42881;49674;92555;4037;27902;2.73;FL;Hispanic or Latino;26401
Overland Park;Kansas;38.2;93355;93156;186511;10461;21407;2.41;KS;Black or African-American;10685
Olathe;Kansas;33.0;65046;69270;134316;6042;11913;2.97;KS;Asian;6288
Sioux Falls;South Dakota;34.6;86596;84934;171530;8658;12934;2.38;SD;White;149298
Portsmouth;Virginia;33.6;45900;50301;96201;10261;1815;2.54;VA;Black or African-American;52972
Kansas City;Missouri;35.9;228430;246931;475361;24710;37787;2.35;MO;Hispanic or Latino;46037
North Little Rock;Arkansas;33.6;31671;34835;66506;4130;2787;2.62;AR;White;34118
Jackson;Tennessee;35.3;30007;36973;66980;3529;2097;2.52;TN;Asian;1171
Bryan;Texas;29.4;41761;40345;82106;3602;12014;2.55;TX;American Indian and Alaska Native;3557
Lynchburg;Virginia;28.7;38614;41198;79812;4322;4364;2.48;VA;Hispanic or Latino;2689
Spokane;Washington;36.6;102756;110511;213267;18044;13253;2.34;WA;Asian;9059
Colorado Springs;Colorado;34.8;225544;231018;456562;49291;35320;2.48;CO;Asian;22619
Wichita Falls;Texas;34.0;55775;48934;104709;7800;9855;2.41;TX;White;82860
McKinney;Texas;35.6;77339;85548;162887;8082;25760;2.91;TX;White;129192
Huntsville;Alabama;38.1;91764;97350;189114;16637;12691;2.18;AL;Black or African-American;61561
Lynwood;California;29.4;35634;36371;72005;776;28061;4.43;CA;Black or African-American;5346
Cranston;Rhode Island;39.9;38365;42712;81077;4702;10631;2.56;RI;White;64806
Amarillo;Texas;33.8;99391;100260;199651;11008;21124;2.64;TX;Asian;8563
Lexington-Fayette  county;Kentucky;34.4;154032;160456;314488;16661;28613;2.34;KY;Hispanic or Latino;21766
Henderson;Nevada;42.5;139412;146246;285658;25045;35666;2.55;NV;Hispanic or Latino;47154
Henderson;Nevada;42.5;139412;146246;285658;25045;35666;2.55;NV;White;234301
Norfolk;Virginia;30.2;128917;117476;246393;29445;16702;2.51;VA;White;127741
Richardson;Texas;35.5;54676;56151;110827;4797;29579;2.83;TX;White;76116
Arvada;Colorado;41.0;54870;60165;115035;8930;4921;2.49;CO;Hispanic or Latino;16419
Hollywood;Florida;41.4;75358;74363;149721;6056;55158;2.65;FL;White;107916
Chesapeake;Virginia;36.7;114964;120465;235429;29772;13966;2.73;VA;Black or African-American;73850
Columbus;Ohio;32.5;413981;435086;849067;40238;101129;2.4;OH;Asian;48974
Saint George;Utah;37.3;38732;41475;80207;4443;4824;2.81;UT;Asian;1649
Turlock;California;36.2;33190;39103;72293;3397;14686;2.76;CA;Hispanic or Latino;23559
Spring Hill;Florida;45.1;48295;54902;103197;9737;7893;2.58;FL;Hispanic or Latino;15838
Kenosha;Wisconsin;36.3;49349;50507;99856;6238;7443;2.55;WI;Asian;2537
Syracuse;New York;30.3;69462;74690;144152;5845;17733;2.39;NY;White;88679
Kendall;Florida;40.2;36658;39808;76466;1678;31180;2.81;FL;White;70266
Redondo Beach;California;43.0;34855;33330;68185;3014;13536;2.34;CA;American Indian and Alaska Native;1007
Redding;California;38.8;42530;49049;91579;6926;5181;2.42;CA;Hispanic or Latino;9143
Redding;California;38.8;42530;49049;91579;6926;5181;2.42;CA;White;81244
Walnut Creek;California;47.6;31994;36912;68906;4977;13624;2.22;CA;Black or African-American;1705
Mission;Texas;32.9;40530;42777;83307;2383;22608;3.51;TX;White;77985
Livonia;Michigan;47.4;45369;49264;94633;5397;7175;2.52;MI;Asian;2719
McAllen;Texas;32.3;68332;71921;140253;4356;37691;3.19;TX;Black or African-American;3332
Cheektowaga;New York;40.7;37476;38599;76075;5408;3532;2.3;NY;White;63541
Oceanside;California;39.4;87482;88232;175714;18051;37492;2.72;CA;Hispanic or Latino;62100
Orlando;Florida;33.1;130940;139977;270917;12782;50558;2.42;FL;Hispanic or Latino;89306
Parma;Ohio;40.8;38425;41518;79943;5028;6909;2.42;OH;Asian;974
Harlingen;Texas;30.1;32404;33365;65769;2761;10391;3.0;TX;Asian;2166
Pembroke Pines;Florida;40.3;77050;89574;166624;6849;62210;2.94;FL;Hispanic or Latino;60519
Alhambra;California;41.0;42184;43388;85572;1673;44441;2.89;CA;American Indian and Alaska Native;687
Lynn;Massachusetts;34.8;44598;47861;92459;3093;29899;2.81;MA;American Indian and Alaska Native;1176
Brentwood;New York;34.2;31395;32397;63792;1492;27058;4.98;NY;American Indian and Alaska Native;4242
Riverside;California;31.4;160613;161810;322423;12373;69584;3.34;CA;American Indian and Alaska Native;5338
Menifee;California;37.1;42866;44297;87163;6821;12481;3.06;CA;Asian;7108
Kalamazoo;Michigan;26.4;37175;38865;76040;3048;3482;2.36;MI;White;56866
Kalamazoo;Michigan;26.4;37175;38865;76040;3048;3482;2.36;MI;Black or African-American;19194
Las Cruces;New Mexico;32.7;47835;53809;101644;9421;11888;2.58;NM;Hispanic or Latino;60614
Las Cruces;New Mexico;32.7;47835;53809;101644;9421;11888;2.58;NM;American Indian and Alaska Native;2368
Yakima;Washington;34.0;45147;48553;93700;4705;15717;2.74;WA;Black or African-American;924
Carson;California;40.4;43790;49506;93296;4273;33860;3.7;CA;White;28801
Carson;California;40.4;43790;49506;93296;4273;33860;3.7;CA;American Indian and Alaska Native;2119
Ann Arbor;Michigan;28.1;58789;58281;117070;3614;20717;2.17;MI;American Indian and Alaska Native;1935
Des Moines;Iowa;34.5;103726;106591;210317;11780;23857;2.41;IA;Hispanic or Latino;25306
Deerfield Beach;Florida;41.4;37155;42614;79769;3882;23642;2.46;FL;Black or African-American;25344
Greeley;Colorado;31.0;50792;50091;100883;4294;11480;2.75;CO;Black or African-American;2856
Farmington Hills;Michigan;42.1;37527;43805;81332;3650;18033;2.41;MI;Asian;10759
Missouri City;Texas;37.2;34932;36846;71778;4274;18556;3.03;TX;Black or African-American;28070
Orange;California;35.0;67337;73658;140995;3993;34550;3.14;CA;Hispanic or Latino;46255
Quincy;Massachusetts;41.0;44129;49500;93629;4147;32935;2.39;MA;American Indian and Alaska Native;351
Everett;Washington;37.0;56212;51800;108012;7880;19499;2.36;WA;White;88395
Citrus Heights;California;37.8;41982;45071;87053;6171;9466;2.49;CA;American Indian and Alaska Native;1514
Gainesville;Florida;26.0;60803;69330;130133;4788;15272;2.33;FL;Hispanic or Latino;12208
San Mateo;California;39.3;50966;52558;103524;2730;34957;2.64;CA;American Indian and Alaska Native;682
Milpitas;California;36.8;40098;37519;77617;1608;39436;3.32;CA;White;17127
Fontana;California;29.5;100644;106828;207472;4076;61448;4.15;CA;Asian;14281
Rockford;Illinois;36.3;71076;78270;149346;8894;18323;2.52;IL;Black or African-American;33122
Tampa;Florida;35.3;175517;193511;369028;20636;58795;2.47;FL;Hispanic or Latino;95154
Santa Monica;California;40.6;46732;46487;93219;2008;24448;2.0;CA;Black or African-American;9663
Boulder;Colorado;29.0;56342;51000;107342;4061;12993;2.24;CO;Black or African-American;1615
Champaign;Illinois;28.7;43326;42760;86086;3734;12261;2.25;IL;Hispanic or Latino;4015
Eau Claire;Wisconsin;32.0;32327;35106;67433;3261;2833;2.4;WI;Hispanic or Latino;1488
Inglewood;California;34.9;52995;58661;111656;2703;34171;3.12;CA;White;33966
Enterprise;Nevada;34.1;69146;66328;135474;7526;31173;2.89;NV;Hispanic or Latino;25307
Enterprise;Nevada;34.1;69146;66328;135474;7526;31173;2.89;NV;Asian;35444
Decatur;Illinois;40.4;34646;38210;72856;5291;1224;2.23;IL;Black or African-American;17939
Cedar Rapids;Iowa;36.2;63109;67296;130405;7823;5404;2.32;IA;Hispanic or Latino;5328
German;Maryland;34.9;41115;43007;84122;2443;27877;2.95;MD;Asian;15921
Shawnee;Kansas;40.1;32313;32745;65058;3575;4136;2.64;KS;Hispanic or Latino;4864
Shawnee;Kansas;40.1;32313;32745;65058;3575;4136;2.64;KS;Black or African-American;7296
Palo Alto;California;40.2;31451;35397;66848;2025;23348;2.55;CA;White;43019
Pueblo;Colorado;37.6;55635;53784;109419;7989;3578;2.44;CO;American Indian and Alaska Native;7306
The Villages;Florida;70.5;;;72590;15231;4034;;FL;Black or African-American;331
Fort Wayne;Indiana;34.7;124815;133329;258144;13539;19146;2.45;IN;American Indian and Alaska Native;3577
Framingham;Massachusetts;40.3;35442;35768;71210;2625;19070;2.49;MA;White;52205
Framingham;Massachusetts;40.3;35442;35768;71210;2625;19070;2.49;MA;Asian;5993
North Charleston;South Carolina;30.7;56549;55315;111864;9651;8789;2.82;SC;White;48956
Nashua;New Hampshire;38.3;42926;45049;87975;5532;12693;2.46;NH;Black or African-American;4147
North Little Rock;Arkansas;33.6;31671;34835;66506;4130;2787;2.62;AR;Black or African-American;30766
Jurupa Valley;California;33.8;49430;50884;100314;3833;25338;3.87;CA;Asian;4992
Boynton Beach;Florida;45.8;33701;40271;73972;4727;15431;2.45;FL;Hispanic or Latino;12553
Temple;Texas;33.6;33512;38785;72297;7333;3968;2.59;TX;Black or African-American;14747
Colorado Springs;Colorado;34.8;225544;231018;456562;49291;35320;2.48;CO;White;374900
Waterbury;Connecticut;36.2;52235;56572;108807;3493;19967;2.71;CT;American Indian and Alaska Native;492
Rockville;Maryland;38.1;31205;35793;66998;1990;25047;2.6;MD;American Indian and Alaska Native;594
Cape Coral;Florida;45.0;85626;89604;175230;14446;24185;2.85;FL;Asian;3314
Killeen;Texas;29.2;69442;71367;140809;24281;15769;2.72;TX;Black or African-American;54601
Daly City;California;39.7;53817;52757;106574;3782;56640;3.26;CA;Black or African-American;5401
Manteca;California;35.3;37053;38397;75450;3936;13942;3.25;CA;Asian;8172
Duluth;Minnesota;34.7;41271;44855;86126;5015;2258;2.25;MN;American Indian and Alaska Native;1894
Bloomington;Indiana;23.5;40588;43227;83815;2368;10033;2.33;IN;White;71200
Little Rock;Arkansas;36.6;96997;100989;197986;12343;16640;2.36;AR;White;102312
Oxnard;California;31.0;101906;105346;207252;6367;78678;4.08;CA;American Indian and Alaska Native;6241
Huntington Beach;California;41.6;99967;101960;201927;10454;35368;2.67;CA;Asian;29095
Bk;California;37.0;50405;54909;105314;4048;32435;2.52;CA;White;79582
Evanston;Illinois;36.8;34146;41377;75523;2058;15003;2.29;IL;White;54496
Atascocita;Texas;32.8;37424;40816;78240;4416;8657;3.03;TX;American Indian and Alaska Native;1024
Surprise;Arizona;39.4;62875;65567;128442;11109;9929;2.9;AZ;Hispanic or Latino;25366
Surprise;Arizona;39.4;62875;65567;128442;11109;9929;2.9;AZ;White;115419
Miramar;Florida;36.6;66157;70958;137115;3077;57179;3.41;FL;White;58914
Jacksonville;North Carolina;24.2;40015;27348;67363;8252;3732;2.51;NC;Hispanic or Latino;11947
Lorain;Ohio;35.6;30844;32807;63651;4905;1531;2.52;OH;Hispanic or Latino;19342
Dothan;Alabama;38.9;32172;35364;67536;6334;1699;2.59;AL;Asian;1175
Johns Creek;Georgia;39.0;40282;43057;83339;1983;29000;3.19;GA;American Indian and Alaska Native;826
Rapid City;South Dakota;39.5;36122;37446;73568;7429;2375;2.31;SD;White;63983
Lee's Summit;Missouri;36.8;48353;46715;95068;6624;3803;2.68;MO;White;82915
Lee's Summit;Missouri;36.8;48353;46715;95068;6624;3803;2.68;MO;Black or African-American;7100
Saint Joseph;Missouri;35.7;37688;38408;76096;5846;3755;2.58;MO;Black or African-American;6964
Warren;Michigan;43.2;64063;71293;135356;7806;18822;2.45;MI;Asian;12156
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;White;149859
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;American Indian and Alaska Native;5549
Vista;California;29.3;50680;50204;100884;4957;23271;3.52;CA;Asian;7189
Antioch;California;34.0;54733;55809;110542;5681;24942;3.31;CA;American Indian and Alaska Native;3462
Erie;Pennsylvania;35.3;48618;50852;99470;7093;6275;2.31;PA;Hispanic or Latino;7859
Tulsa;Oklahoma;35.0;197437;205654;403091;24672;43751;2.37;OK;Asian;16318
Mountain View;California;33.5;42493;37945;80438;1376;31857;2.46;CA;White;51400
Torrance;California;41.2;73209;75259;148468;8459;43096;2.7;CA;White;80498
Yonkers;New York;38.0;96580;104538;201118;4801;61247;2.8;NY;Black or African-American;38731
Bethlehem;Pennsylvania;35.1;35861;38506;74367;4704;6295;2.46;PA;Hispanic or Latino;23409
West Valley City;Utah;30.7;68235;67989;136224;4880;30712;3.81;UT;American Indian and Alaska Native;4851
Surprise;Arizona;39.4;62875;65567;128442;11109;9929;2.9;AZ;Black or African-American;9079
Hartford;Connecticut;31.0;58042;65972;124014;3130;28467;2.59;CT;American Indian and Alaska Native;2451
Appleton;Wisconsin;35.6;37217;38038;75255;4219;4454;2.49;WI;Asian;5561
Dothan;Alabama;38.9;32172;35364;67536;6334;1699;2.59;AL;Hispanic or Latino;1704
El Monte;California;37.3;57961;58784;116745;1686;59655;3.67;CA;American Indian and Alaska Native;718
Warren;Michigan;43.2;64063;71293;135356;7806;18822;2.45;MI;Hispanic or Latino;3210
Tacoma;Washington;37.7;100914;107036;207950;19040;31863;2.48;WA;Hispanic or Latino;25764
Fremont;California;38.3;114383;117808;232191;4629;109427;3.12;CA;Hispanic or Latino;29594
Elgin;Illinois;35.7;54852;56224;111076;4024;30167;2.97;IL;Hispanic or Latino;48221
Charleston;South Carolina;35.0;63956;71568;135524;9368;5767;2.4;SC;Black or African-American;29998
Greenville;North Carolina;26.2;39897;50691;90588;4283;4183;2.4;NC;Black or African-American;37355
Redding;California;38.8;42530;49049;91579;6926;5181;2.42;CA;Black or African-American;2112
Gastonia;North Carolina;36.9;35527;39023;74550;3537;5715;2.67;NC;Asian;2788
Frisco;Texas;37.2;73989;80399;154388;6297;30913;3.05;TX;Hispanic or Latino;17093
Oklahoma City;Oklahoma;34.1;309227;322036;631263;41843;80165;2.58;OK;White;462306
McAllen;Texas;32.3;68332;71921;140253;4356;37691;3.19;TX;Asian;5575
Carlsbad;California;42.1;55119;58347;113466;6031;17689;2.68;CA;White;98705
Pasadena;California;37.6;67712;74534;142246;4618;40779;2.63;CA;Hispanic or Latino;52717
Naperville;Illinois;38.5;71365;75794;147159;4545;30399;2.76;IL;American Indian and Alaska Native;449
Fresno;California;30.0;256130;263942;520072;18410;103453;3.12;CA;Black or African-American;46072
Johnson City;Tennessee;38.2;31019;34350;65369;5038;2878;2.18;TN;Asian;1877
Johnson City;Tennessee;38.2;31019;34350;65369;5038;2878;2.18;TN;American Indian and Alaska Native;400
Goodyear;Arizona;38.6;36711;42292;79003;7650;11774;2.97;AZ;Asian;5701
Toms River;New Jersey;43.7;43864;43886;87750;5042;6852;2.71;NJ;American Indian and Alaska Native;251
Wyoming;Michigan;32.8;35967;39310;75277;3447;8612;2.65;MI;Hispanic or Latino;15325
Lawton;Oklahoma;31.1;51099;45560;96659;11572;6123;2.72;OK;Asian;5173
Reading;Pennsylvania;29.4;43668;44205;87873;2580;17043;2.95;PA;Hispanic or Latino;57032
San Diego;California;34.5;693826;701081;1394907;92489;373842;2.73;CA;Asian;267222
Aurora;Illinois;31.7;101964;101751;203715;4988;50980;3.3;IL;White;115903
Rochester Hills;Michigan;41.2;36356;37076;73432;3053;13708;2.66;MI;Asian;8092
Minneapolis;Minnesota;32.4;206547;204388;410935;15217;70769;2.26;MN;American Indian and Alaska Native;9238
